Repository,Date,Stars
lancedb/lancedb,Sat Mar 18 2023 14:22:48 GMT-0400 (Eastern Daylight Time),0
lancedb/lancedb,Sat Aug 26 2023 13:28:17 GMT-0400 (Eastern Daylight Time),1000
lancedb/lancedb,Tue Dec 12 2023 03:08:00 GMT-0500 (Eastern Standard Time),1600
lancedb/lancedb,Tue Feb 20 2024 09:01:40 GMT-0500 (Eastern Standard Time),2200
lancedb/lancedb,Sun May 05 2024 05:24:53 GMT-0400 (Eastern Daylight Time),2800
lancedb/lancedb,Sat Jun 29 2024 05:32:15 GMT-0400 (Eastern Daylight Time),3400
lancedb/lancedb,Thu Sep 12 2024 00:46:54 GMT-0400 (Eastern Daylight Time),4000
lancedb/lancedb,Mon Nov 18 2024 08:13:25 GMT-0500 (Eastern Standard Time),4700
lancedb/lancedb,Thu Jan 30 2025 00:53:43 GMT-0500 (Eastern Standard Time),5300
lancedb/lancedb,Fri Mar 28 2025 16:47:37 GMT-0400 (Eastern Daylight Time),5900
lancedb/lancedb,Fri Jun 06 2025 21:41:24 GMT-0400 (Eastern Daylight Time),6500
lancedb/lancedb,Mon Jul 28 2025 16:21:14 GMT-0400 (Eastern Daylight Time),7100
lancedb/lancedb,Tue Oct 14 2025 21:54:55 GMT-0400 (Eastern Daylight Time),7700
lancedb/lancedb,Fri Dec 26 2025 16:51:57 GMT-0500 (Eastern Standard Time),8300
lancedb/lancedb,Thu Feb 12 2026 03:18:09 GMT-0500 (Eastern Standard Time),8900
lancedb/lancedb,Fri Feb 20 2026 14:34:58 GMT-0500 (Eastern Standard Time),9018
